lr,bs,mdl,nr,accuracy,f1_micro,f1_macro
0.1,2000,1e-06,5,0.6475,0.6475,0.6425651653136111
0.1,2000,1e-06,7,0.6125,0.6125,0.6095103133364824
0.1,2000,1e-05,3,0.625,0.625,0.6175030599755202
0.1,2000,1e-05,5,0.6475,0.6475,0.6444578928456607
0.1,2000,1e-05,7,0.61,0.61,0.6032956972841013
0.1,3000,1e-07,3,0.635,0.635,0.634771732332708
0.1,3000,1e-07,5,0.64,0.64,0.637060187518903
0.1,3000,1e-07,7,0.6225,0.6225,0.6195874665407023
0.1,3000,1e-06,3,0.6175,0.6175,0.6125969298939706
0.1,3000,1e-06,5,0.6475,0.6475,0.6450843553938997
0.1,3000,1e-06,7,0.6275,0.6275,0.6213444812228794
0.1,3000,1e-05,3,0.6275,0.6275,0.6186307821268373
0.1,3000,1e-05,5,0.65,0.65,0.6448863636363636
0.1,3000,1e-05,7,0.625,0.625,0.6163682864450128
0.1,4000,1e-07,3,0.6175,0.6175,0.6148787686189124
0.1,4000,1e-07,5,0.6325,0.6325,0.6308179141212147
0.1,4000,1e-07,7,0.61,0.61,0.6096486838154338
0.1,4000,1e-06,3,0.635,0.635,0.6342593752348505
0.1,4000,1e-06,5,0.645,0.645,0.6442796663243067
0.1,4000,1e-06,7,0.6075,0.6075,0.6057034865104132
0.1,4000,1e-05,3,0.6025,0.6025,0.5990695387408513
0.1,4000,1e-05,5,0.6475,0.6475,0.6437572243382033
0.1,4000,1e-05,7,0.605,0.605,0.5982097446851795
